booking_id,user_id,event_date,ticket_type,price
1,160,2023-02-14,Regular,104.14
2,331,2024-02-06,Regular,85.41
3,776,2023-07-25,Regular,80.82
4,225,2023-03-03,Regular,48.61
5,983,2024-02-24,Regular,86.35
6,729,2024-04-12,Regular,88.29
7,504,2023-01-19,Regular,80.37
8,456,2023-12-31,VIP,79.29
9,45,2023-10-27,Regular,72.2
10,214,2023-01-07,VIP,87.99
11,59,2024-03-03,Regular,102.94
12,644,2023-04-27,Premium,81.61
13,616,2024-08-02,Regular,55.57
14,195,2024-05-21,Regular,57.1
15,925,2024-06-29,Premium,89.52
16,489,2024-12-06,Regular,55.73
17,157,2023-11-21,Premium,79.02
18,610,2023-02-24,Regular,68.09
19,226,2023-02-11,Regular,53.56
20,412,2023-10-24,Regular,91.65
21,205,2023-08-19,Premium,89.14
22,79,2024-03-28,Regular,47.89
23,124,2024-01-29,Premium,84.63
24,471,2024-06-05,Premium,81.71
25,940,2023-12-24,Regular,91.75
26,218,2024-03-19,Regular,78.34
27,516,2023-05-08,Premium,103.54
28,602,2024-11-21,Regular,72.47
29,104,2024-02-09,Regular,69.56
30,393,2024-01-27,Regular,55.5
31,631,2023-07-12,Regular,56.32
32,645,2024-08-26,Regular,54.51
33,824,2023-03-19,Regular,79.37
34,608,2023-03-26,Premium,69.62
35,980,2023-01-30,Regular,81.61
36,434,2024-12-25,Regular,50.82
37,331,2023-02-18,VIP,57.89
38,143,2023-05-25,Premium,57.55
39,800,2023-03-10,Premium,118.39
40,540,2023-02-27,Regular,71.69
41,278,2024-11-27,Premium,73.67
42,233,2024-07-27,Regular,73.45
43,529,2024-04-23,Regular,106.06
44,571,2024-03-20,Regular,42.73
45,90,2023-10-23,Regular,73.8
46,492,2024-11-08,Premium,42.55
47,199,2023-06-20,Regular,27.4
48,362,2024-07-28,Premium,60.32
49,441,2023-05-27,Premium,83.24
50,26,2024-04-28,Regular,59.04
51,25,2023-11-02,Regular,82.92
52,394,2024-11-03,Regular,77.13
53,507,2024-10-14,Regular,72.22
54,301,2024-08-31,Regular,100.3
55,339,2024-03-21,VIP,63.08
56,267,2023-08-09,Regular,82.61
57,461,2024-07-08,Regular,38.94
58,693,2024-01-13,Premium,76.98
59,456,2024-09-11,Regular,69.86
60,360,2023-09-23,Premium,51.36
61,68,2023-04-05,Regular,82.97
62,863,2023-09-19,Regular,60.22
63,412,2023-03-12,Regular,109.64
64,971,2023-08-07,Regular,26.32
65,491,2024-06-16,Regular,79.97
66,833,2023-04-02,Premium,75.85
67,49,2023-05-07,Regular,69.38
68,687,2023-03-21,VIP,64.42
69,564,2023-08-26,Regular,76.37
70,102,2024-01-07,Regular,96.24
71,216,2024-04-30,Regular,41.56
72,438,2024-11-24,VIP,58.88
73,700,2023-01-25,Regular,53.99
74,569,2023-06-05,Regular,53.05
75,559,2024-05-31,Premium,81.85
76,159,2024-09-23,Regular,86.79
77,489,2024-06-13,Premium,96.3
78,686,2024-12-10,Regular,87.1
79,242,2023-02-26,Premium,88.72
80,794,2024-08-27,VIP,46.76
81,753,2023-01-19,Premium,104.67
82,882,2024-01-19,Regular,70.8
83,5,2023-07-12,Regular,95.66
84,596,2023-08-25,VIP,47.48
85,820,2024-01-22,Regular,70.17
86,361,2024-03-01,Regular,93.86
87,459,2023-10-04,Premium,75.56
88,248,2023-08-15,Regular,59.92
89,566,2024-07-05,Regular,101.2
90,673,2023-11-19,Regular,51.57
