booking_id,user_id,event_date,ticket_type,price,revenue_id,revenue_date,tax,total
1,160,2023-02-14,Regular,104.14,1,2023-02-14,7.29,111.43
2,331,2024-02-06,Regular,85.41,2,2024-02-06,5.98,91.39
3,776,2023-07-25,Regular,80.82,3,2023-07-25,5.66,86.48
4,225,2023-03-03,Regular,48.61,4,2023-03-03,3.4,52.01
5,983,2024-02-24,Regular,86.35,5,2024-02-24,6.04,92.39
6,729,2024-04-12,Regular,88.29,6,2024-04-12,6.18,94.47
7,504,2023-01-19,Regular,80.37,7,2023-01-19,5.63,86.0
8,456,2023-12-31,VIP,79.29,8,2023-12-31,5.55,84.84
9,45,2023-10-27,Regular,72.2,9,2023-10-27,5.05,77.25
10,214,2023-01-07,VIP,87.99,10,2023-01-07,6.16,94.15
11,59,2024-03-03,Regular,102.94,11,2024-03-03,7.21,110.15
12,644,2023-04-27,Premium,81.61,12,2023-04-27,5.71,87.32
13,616,2024-08-02,Regular,55.57,13,2024-08-02,3.89,59.46
14,195,2024-05-21,Regular,57.1,14,2024-05-21,4.0,61.1
15,925,2024-06-29,Premium,89.52,15,2024-06-29,6.27,95.79
16,489,2024-12-06,Regular,55.73,16,2024-12-06,3.9,59.63
17,157,2023-11-21,Premium,79.02,17,2023-11-21,5.53,84.55
18,610,2023-02-24,Regular,68.09,18,2023-02-24,4.77,72.86
19,226,2023-02-11,Regular,53.56,19,2023-02-11,3.75,57.31
20,412,2023-10-24,Regular,91.65,20,2023-10-24,6.42,98.07
21,205,2023-08-19,Premium,89.14,21,2023-08-19,6.24,95.38
22,79,2024-03-28,Regular,47.89,22,2024-03-28,3.35,51.24
23,124,2024-01-29,Premium,84.63,23,2024-01-29,5.92,90.55
24,471,2024-06-05,Premium,81.71,24,2024-06-05,5.72,87.43
25,940,2023-12-24,Regular,91.75,25,2023-12-24,6.42,98.17
26,218,2024-03-19,Regular,78.34,26,2024-03-19,5.48,83.82
27,516,2023-05-08,Premium,103.54,27,2023-05-08,7.25,110.79
