session_id,user_id,session_date,duration_minutes,device
1,450,2024-10-23,32.21,Tablet
2,569,2023-11-13,23.89,Tablet
3,427,2023-01-12,3.54,Mobile
4,813,2023-03-31,13.6,Tablet
5,799,2024-01-23,5.9,Mobile
6,650,2023-03-24,12.08,Desktop
7,279,2024-01-31,90.64,Desktop
8,214,2024-06-28,34.5,Tablet
9,751,2024-10-22,0.23,Mobile
10,285,2024-10-01,8.73,Tablet
11,993,2023-04-10,0.31,Mobile
12,543,2024-04-01,37.64,Tablet
13,718,2023-11-24,19.01,Desktop
14,970,2024-12-24,153.57,Desktop
15,274,2023-03-15,39.68,Tablet
16,11,2023-04-06,21.89,Tablet
17,871,2023-04-02,49.0,Mobile
18,47,2023-11-26,36.6,Desktop
19,515,2023-06-24,8.38,Tablet
20,642,2023-11-11,22.67,Mobile
21,438,2024-11-17,24.36,Desktop
22,584,2024-07-21,18.0,Mobile
23,671,2024-05-11,5.92,Desktop
24,904,2023-09-26,7.58,Desktop
25,427,2024-03-03,9.9,Mobile
26,432,2023-02-04,0.31,Mobile
27,130,2023-04-29,74.65,Desktop
28,22,2024-01-06,34.76,Desktop
29,892,2024-07-21,35.1,Mobile
30,389,2024-03-26,25.48,Tablet
31,135,2023-11-05,35.07,Mobile
32,532,2023-12-23,120.29,Tablet
33,220,2024-01-11,14.59,Mobile
34,333,2023-04-15,37.4,Tablet
35,130,2024-01-25,13.37,Tablet
36,32,2023-06-25,57.78,Desktop
37,602,2023-04-16,58.56,Mobile
38,771,2024-08-14,69.77,Mobile
39,425,2023-06-12,0.16,Mobile
40,298,2023-09-24,10.62,Tablet
41,504,2024-07-16,4.31,Tablet
42,845,2023-10-06,18.15,Desktop
43,761,2023-10-30,20.52,Tablet
44,981,2024-08-09,8.87,Mobile
45,685,2023-05-07,38.56,Tablet
46,357,2023-09-03,9.43,Tablet
47,983,2023-08-22,57.7,Desktop
48,455,2024-10-28,5.87,Tablet
49,401,2024-08-07,13.73,Mobile
50,988,2024-03-14,29.2,Mobile
51,896,2023-05-17,27.89,Mobile
52,559,2024-07-09,2.44,Mobile
53,990,2023-05-29,56.17,Desktop
54,709,2023-02-25,27.34,Desktop
55,920,2024-11-18,61.17,Mobile
56,455,2023-12-22,60.67,Mobile
57,891,2023-09-14,23.68,Tablet
58,34,2023-03-04,72.5,Tablet
59,766,2023-03-04,56.6,Tablet
60,248,2023-01-29,95.19,Tablet
61,946,2024-07-05,57.01,Tablet
62,42,2024-10-20,51.65,Mobile
63,801,2024-08-22,19.01,Tablet
64,123,2024-07-21,7.15,Tablet
65,27,2023-10-27,72.48,Tablet
66,462,2024-12-05,38.46,Desktop
67,571,2024-09-03,9.93,Desktop
68,147,2023-08-03,12.51,Desktop
69,496,2023-05-21,34.76,Mobile
70,627,2024-05-21,19.49,Desktop
71,486,2024-07-14,2.55,Tablet
72,460,2024-05-13,4.58,Tablet
73,899,2024-09-18,41.07,Tablet
